[0, 2, 4, 6, 8, 10, 12, 14, 16, 18]
[0, 3, 6, 9, 12, 15, 18, 21, 24, 27]
[2, 1, 1, 1, 1, 1, 1, 1, 1, 1]
[1, 1, 2, 6, 24, 120, 720, 5040, 40320, 362880]
[0, 1, 4, 9, 16, 25, 36, 49, 64, 81]
[-1, -2, -3, -4, -5, -6, -7, -8, -9, -10]
[-2, -1, -1, -1, -1, -1, -1, -1, -1, -1]
[4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
[4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
[5, 4, 3, 2, 1, 0, -1, -2, -3, -4]
[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
[2, 1, 0, -1, -2, -3, -4, -5, -6, -7]
[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
[0, 2, 4, 6, 8, 10, 12, 14, 16, 18]
[0, 2, 4, 6, 8, 10, 12, 14, 16, 18]
[-1, 0, 1, 2, 3, 4, 5, 6, 7, 8]
[0, 2, 4, 6, 8, 10, 12, 14, 16, 18]
[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
[1, 0, -1, -2, -3, -4, -5, -6, -7, -8]
[2, 1, 0, -1, -2, -3, -4, -5, -6, -7]
[0, 2, 2, 2, 2, 2, 2, 2, 2, 2]
[-2, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[1, 2, 2, 2, 2, 2, 2, 2, 2, 2]
[0, 0, -2, -6, -12, -20, -30, -42, -56, -72]
[2, 4, 6, 8, 10, 12, 14, 16, 18, 20]
[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
[-1, 0, 1, 2, 3, 4, 5, 6, 7, 8]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
[1, 2, 4, 6, 8, 10, 12, 14, 16, 18]
[-1, 0, 1, 2, 3, 4, 5, 6, 7, 8]
[0, 3, 18, 57, 132, 255, 438, 693, 1032, 1467]
[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
[0, 1, 4, 9, 16, 25, 36, 49, 64, 81]
[0, 0, -4, -12, -24, -40, -60, -84, -112, -144]
[0, 1, 6, 15, 28, 45, 66, 91, 120, 153]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
[-1, 0, 1, 2, 3, 4, 5, 6, 7, 8]
[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
[1, 0, -1, -2, -3, -4, -5, -6, -7, -8]
[-2, -1, 0, 1, 2, 3, 4, 5, 6, 7]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
[-2, -4, -6, -8, -10, -12, -14, -16, -18, -20]
[4, 3, 2, 1, 0, -1, -2, -3, -4, -5]
[2, 1, 0, -1, -2, -3, -4, -5, -6, -7]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
[0, 0, 2, 4, 6, 8, 10, 12, 14, 16]
[0, -2, -4, -6, -8, -10, -12, -14, -16, -18]
[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
[0, 2, 8, 18, 32, 50, 72, 98, 128, 162]
[0, 2, 4, 6, 8, 10, 12, 14, 16, 18]
[3, 2, 1, 0, -1, -2, -3, -4, -5, -6]
[-2, 0, 2, 4, 6, 8, 10, 12, 14, 16]
[-2, -1, 0, 1, 2, 3, 4, 5, 6, 7]
[0, -1, -2, -3, -4, -5, -6, -7, -8, -9]
[2, 1, 0, -1, -2, -3, -4, -5, -6, -7]
[0, 2, 4, 6, 8, 10, 12, 14, 16, 18]
[0, 2, 4, 6, 8, 10, 12, 14, 16, 18]
[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
[0, 1, 4, 9, 16, 25, 36, 49, 64, 81]
[0, 2, 2, 2, 2, 2, 2, 2, 2, 2]
[0, 2, 4, 6, 8, 10, 12, 14, 16, 18]
[0, 1, 4, 9, 16, 25, 36, 49, 64, 81]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
[2, 1, 0, -1, -2, -3, -4, -5, -6, -7]
[1, 0, -1, -2, -3, -4, -5, -6, -7, -8]
[1, 0, -1, -2, -3, -4, -5, -6, -7, -8]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
[-1, -2, -3, -4, -5, -6, -7, -8, -9, -10]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[-4, -2, 0, 2, 4, 6, 8, 10, 12, 14]
[0, 2, 4, 6, 8, 10, 12, 14, 16, 18]
[2, 1, 0, -1, -2, -3, -4, -5, -6, -7]
[0, 2, 4, 6, 8, 10, 12, 14, 16, 18]
[0, 2, 4, 6, 8, 10, 12, 14, 16, 18]
[0, 2, 4, 6, 8, 10, 12, 14, 16, 18]
[-2, 0, 2, 4, 6, 8, 10, 12, 14, 16]
[2, 3, 6, 11, 18, 27, 38, 51, 66, 83]
[0, 2, 4, 6, 8, 10, 12, 14, 16, 18]
[0, 2, 4, 6, 8, 10, 12, 14, 16, 18]
[0, 1, 4, 9, 16, 25, 36, 49, 64, 81]
[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
[0, -1, -4, -9, -16, -25, -36, -49, -64, -81]
[0, 2, 4, 6, 8, 10, 12, 14, 16, 18]
[2, 4, 8, 16, 32, 64, 128, 256, 512, 1024]
[1, 0, -1, -2, -3, -4, -5, -6, -7, -8]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
[2, 1, 1, 1, 1, 1, 1, 1, 1, 1]
[0, -1, -4, -9, -16, -25, -36, -49, -64, -81]
[-2, -1, 0, 1, 2, 3, 4, 5, 6, 7]
[2, 1, 0, -1, -2, -3, -4, -5, -6, -7]
[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
[-2, -1, 0, 1, 2, 3, 4, 5, 6, 7]
[4, 2, 0, -2, -4, -6, -8, -10, -12, -14]
[-1, -2, -3, -4, -5, -6, -7, -8, -9, -10]
[0, 2, 4, 6, 8, 10, 12, 14, 16, 18]
[0, -1, 0, 3, 8, 15, 24, 35, 48, 63]
