Thu Jan 25 19:10:25 2024    profiles/profile_data_after_correcting_generate_random_letter.prof

         31877092 function calls (29152756 primitive calls) in 9.985 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    25202    0.003    0.000    0.003    0.000 /mnt/c/Users/a073ffu/Downloads/卒論/Git/intseq/../intseq/src/sequence_generator.py:56(information_amount_info)
    15420    0.002    0.000    0.002    0.000 /mnt/c/Users/a073ffu/Downloads/卒論/Git/intseq/../intseq/src/program.py:53(build)
    21215    0.002    0.000    0.002    0.000 /mnt/c/Users/a073ffu/Downloads/卒論/Git/intseq/../intseq/src/program.py:43(calc)
1831/1630    0.002    0.000    0.014    0.000 /mnt/c/Users/a073ffu/Downloads/卒論/Git/intseq/../intseq/src/program.py:118(build)
3236/2682    0.001    0.000    0.004    0.000 /mnt/c/Users/a073ffu/Downloads/卒論/Git/intseq/../intseq/src/program.py:186(<lambda>)
3154/2651    0.001    0.000    0.004    0.000 /mnt/c/Users/a073ffu/Downloads/卒論/Git/intseq/../intseq/src/program.py:197(<lambda>)
2961/2438    0.001    0.000    0.004    0.000 /mnt/c/Users/a073ffu/Downloads/卒論/Git/intseq/../intseq/src/program.py:175(<lambda>)
1894/1341    0.001    0.000    0.005    0.000 /mnt/c/Users/a073ffu/Downloads/卒論/Git/intseq/../intseq/src/program.py:103(<lambda>)
1403/1216    0.001    0.000    0.004    0.000 /mnt/c/Users/a073ffu/Downloads/卒論/Git/intseq/../intseq/src/program.py:81(<lambda>)
     8892    0.001    0.000    0.001    0.000 /mnt/c/Users/a073ffu/Downloads/卒論/Git/intseq/../intseq/src/program.py:56(calc)
1880/1377    0.001    0.000    0.003    0.000 /mnt/c/Users/a073ffu/Downloads/卒論/Git/intseq/../intseq/src/program.py:86(loop_impl)
1146/1016    0.001    0.000    0.005    0.000 /mnt/c/Users/a073ffu/Downloads/卒論/Git/intseq/../intseq/src/program.py:161(<lambda>)
      175    0.000    0.000    0.002    0.000 /mnt/c/Users/a073ffu/Downloads/卒論/Git/intseq/../intseq/src/sequence_generator.py:101(check_if_trivial_arithmetic_progression)
  295/293    0.000    0.000    0.001    0.000 /mnt/c/Users/a073ffu/Downloads/卒論/Git/intseq/../intseq/src/program.py:128(<lambda>)
     1380    0.000    0.000    0.000    0.000 /mnt/c/Users/a073ffu/Downloads/卒論/Git/intseq/../intseq/src/program.py:66(cond_impl)
      289    0.000    0.000    0.000    0.000 /mnt/c/Users/a073ffu/Downloads/卒論/Git/intseq/../intseq/src/program.py:107(loop2_impl)
       32    0.000    0.000    0.000    0.000 /mnt/c/Users/a073ffu/Downloads/卒論/Git/intseq/../intseq/src/sequence_generator.py:15(remember_letters)
       32    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
